ContentsCode_kode,år_kode,geografi_kode,kjønn_kode,aldersgruppe_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,geografi_navn,kjønn_navn,aldersgruppe_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,30107,1,5,0,ok-sos001,2012,Vestre Aker,Menn,60+,Antall mottakere av AAP,44
EliminatedValue,0,30107,2,0,0,ok-sos001,2012,Vestre Aker,Kvinner,Alder i alt,Antall mottakere av AAP,633
EliminatedValue,0,30107,2,1,0,ok-sos001,2012,Vestre Aker,Kvinner,Under 30,Antall mottakere av AAP,70
EliminatedValue,0,30107,2,2,0,ok-sos001,2012,Vestre Aker,Kvinner,30-39,Antall mottakere av AAP,108
EliminatedValue,0,30107,2,3,0,ok-sos001,2012,Vestre Aker,Kvinner,40-49,Antall mottakere av AAP,195
EliminatedValue,0,30107,2,4,0,ok-sos001,2012,Vestre Aker,Kvinner,50-59,Antall mottakere av AAP,173
EliminatedValue,0,30107,2,5,0,ok-sos001,2012,Vestre Aker,Kvinner,60+,Antall mottakere av AAP,87
EliminatedValue,0,30108,0,0,0,ok-sos001,2012,Nordre Aker,Begge kjønn,Alder i alt,Antall mottakere av AAP,1095
EliminatedValue,0,30108,0,1,0,ok-sos001,2012,Nordre Aker,Begge kjønn,Under 30,Antall mottakere av AAP,165
EliminatedValue,0,30108,0,2,0,ok-sos001,2012,Nordre Aker,Begge kjønn,30-39,Antall mottakere av AAP,251
EliminatedValue,0,30108,0,3,0,ok-sos001,2012,Nordre Aker,Begge kjønn,40-49,Antall mottakere av AAP,311
EliminatedValue,0,30108,0,4,0,ok-sos001,2012,Nordre Aker,Begge kjønn,50-59,Antall mottakere av AAP,265
EliminatedValue,0,30108,0,5,0,ok-sos001,2012,Nordre Aker,Begge kjønn,60+,Antall mottakere av AAP,103
EliminatedValue,0,30108,1,0,0,ok-sos001,2012,Nordre Aker,Menn,Alder i alt,Antall mottakere av AAP,448
EliminatedValue,0,30108,1,1,0,ok-sos001,2012,Nordre Aker,Menn,Under 30,Antall mottakere av AAP,70
