ContentsCode_kode,år_kode,geografi_kode,alder_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,geografi_navn,alder_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,4,0,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Sagene,I alt,Andel sosialhjelpsmottakere i befolkningen,6.3
EliminatedValue,0,4,0,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Sagene,I alt,Antall sosialhjelpsmottakere,1780
EliminatedValue,0,4,1,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Sagene,Under 20 år,Andel sosialhjelpsmottakere i befolkningen,4.7
EliminatedValue,0,4,1,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Sagene,Under 20 år,Antall sosialhjelpsmottakere,16
EliminatedValue,0,4,2,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Sagene,20-24 år,Andel sosialhjelpsmottakere i befolkningen,6.7
EliminatedValue,0,4,2,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Sagene,20-24 år,Antall sosialhjelpsmottakere,160
EliminatedValue,0,4,3,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Sagene,25-29 år,Andel sosialhjelpsmottakere i befolkningen,4.3
EliminatedValue,0,4,3,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Sagene,25-29 år,Antall sosialhjelpsmottakere,249
EliminatedValue,0,4,4,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Sagene,30-39 år,Andel sosialhjelpsmottakere i befolkningen,4.7
EliminatedValue,0,4,4,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Sagene,30-39 år,Antall sosialhjelpsmottakere,428
EliminatedValue,0,4,5,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Sagene,40-49 år,Andel sosialhjelpsmottakere i befolkningen,13
EliminatedValue,0,4,5,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Sagene,40-49 år,Antall sosialhjelpsmottakere,494
EliminatedValue,0,4,6,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Sagene,50-66 år,Andel sosialhjelpsmottakere i befolkningen,9
EliminatedValue,0,4,6,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Sagene,50-66 år,Antall sosialhjelpsmottakere,385
EliminatedValue,0,4,7,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Sagene,67 år og over,Andel sosialhjelpsmottakere i befolkningen,2
EliminatedValue,0,4,7,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Sagene,67 år og over,Antall sosialhjelpsmottakere,48
EliminatedValue,0,5,0,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel St.Hanshaugen,I alt,Andel sosialhjelpsmottakere i befolkningen,3.6
EliminatedValue,0,5,0,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel St.Hanshaugen,I alt,Antall sosialhjelpsmottakere,1008
EliminatedValue,0,5,1,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel St.Hanshaugen,Under 20 år,Andel sosialhjelpsmottakere i befolkningen,6.1
EliminatedValue,0,5,1,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel St.Hanshaugen,Under 20 år,Antall sosialhjelpsmottakere,19
EliminatedValue,0,5,2,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel St.Hanshaugen,20-24 år,Andel sosialhjelpsmottakere i befolkningen,4.2
EliminatedValue,0,5,2,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel St.Hanshaugen,20-24 år,Antall sosialhjelpsmottakere,136
EliminatedValue,0,5,3,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel St.Hanshaugen,25-29 år,Andel sosialhjelpsmottakere i befolkningen,2.3
EliminatedValue,0,5,3,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel St.Hanshaugen,25-29 år,Antall sosialhjelpsmottakere,144
EliminatedValue,0,5,4,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel St.Hanshaugen,30-39 år,Andel sosialhjelpsmottakere i befolkningen,3.8
EliminatedValue,0,5,4,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel St.Hanshaugen,30-39 år,Antall sosialhjelpsmottakere,311
EliminatedValue,0,5,5,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel St.Hanshaugen,40-49 år,Andel sosialhjelpsmottakere i befolkningen,6.9
EliminatedValue,0,5,5,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel St.Hanshaugen,40-49 år,Antall sosialhjelpsmottakere,241
EliminatedValue,0,5,6,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel St.Hanshaugen,50-66 år,Andel sosialhjelpsmottakere i befolkningen,3.6
EliminatedValue,0,5,6,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel St.Hanshaugen,50-66 år,Antall sosialhjelpsmottakere,145
EliminatedValue,0,5,7,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel St.Hanshaugen,67 år og over,Andel sosialhjelpsmottakere i befolkningen,0.5
EliminatedValue,0,5,7,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel St.Hanshaugen,67 år og over,Antall sosialhjelpsmottakere,12
EliminatedValue,0,6,0,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Frogner,I alt,Andel sosialhjelpsmottakere i befolkningen,2.9
EliminatedValue,0,6,0,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Frogner,I alt,Antall sosialhjelpsmottakere,1218
EliminatedValue,0,6,1,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Frogner,Under 20 år,Andel sosialhjelpsmottakere i befolkningen,1.9
EliminatedValue,0,6,1,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Frogner,Under 20 år,Antall sosialhjelpsmottakere,13
EliminatedValue,0,6,2,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Frogner,20-24 år,Andel sosialhjelpsmottakere i befolkningen,2.9
EliminatedValue,0,6,2,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Frogner,20-24 år,Antall sosialhjelpsmottakere,123
EliminatedValue,0,6,3,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Frogner,25-29 år,Andel sosialhjelpsmottakere i befolkningen,2
EliminatedValue,0,6,3,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Frogner,25-29 år,Antall sosialhjelpsmottakere,144
EliminatedValue,0,6,4,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Frogner,30-39 år,Andel sosialhjelpsmottakere i befolkningen,3.6
EliminatedValue,0,6,4,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Frogner,30-39 år,Antall sosialhjelpsmottakere,367
EliminatedValue,0,6,5,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Frogner,40-49 år,Andel sosialhjelpsmottakere i befolkningen,4.9
EliminatedValue,0,6,5,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Frogner,40-49 år,Antall sosialhjelpsmottakere,281
EliminatedValue,0,6,6,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Frogner,50-66 år,Andel sosialhjelpsmottakere i befolkningen,2.8
EliminatedValue,0,6,6,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Frogner,50-66 år,Antall sosialhjelpsmottakere,253
EliminatedValue,0,6,7,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Frogner,67 år og over,Andel sosialhjelpsmottakere i befolkningen,0.7
EliminatedValue,0,6,7,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Frogner,67 år og over,Antall sosialhjelpsmottakere,37
EliminatedValue,0,7,0,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Ullern,I alt,Andel sosialhjelpsmottakere i befolkningen,1.6
EliminatedValue,0,7,0,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Ullern,I alt,Antall sosialhjelpsmottakere,361
EliminatedValue,0,7,1,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Ullern,Under 20 år,Andel sosialhjelpsmottakere i befolkningen,1.3
EliminatedValue,0,7,1,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Ullern,Under 20 år,Antall sosialhjelpsmottakere,8
EliminatedValue,0,7,2,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Ullern,20-24 år,Andel sosialhjelpsmottakere i befolkningen,3.3
EliminatedValue,0,7,2,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Ullern,20-24 år,Antall sosialhjelpsmottakere,44
EliminatedValue,0,7,3,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Ullern,25-29 år,Andel sosialhjelpsmottakere i befolkningen,2.6
EliminatedValue,0,7,3,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Ullern,25-29 år,Antall sosialhjelpsmottakere,45
EliminatedValue,0,7,4,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Ullern,30-39 år,Andel sosialhjelpsmottakere i befolkningen,2.6
EliminatedValue,0,7,4,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Ullern,30-39 år,Antall sosialhjelpsmottakere,111
