ContentsCode_kode,år_kode,bosted_kode,aldersgruppe_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,bosted_navn,aldersgruppe_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,7,18,0,BEF005,2017,Bydel Vestre Aker,85-89 år,antall,687
EliminatedValue,0,7,19,0,BEF005,2017,Bydel Vestre Aker,90-94 år,antall,364
EliminatedValue,0,7,20,0,BEF005,2017,Bydel Vestre Aker,95+ år,antall,144
EliminatedValue,0,8,0,0,BEF005,2017,Bydel Nordre Aker,Alder i alt,antall,51085
EliminatedValue,0,8,1,0,BEF005,2017,Bydel Nordre Aker,0 år,antall,613
EliminatedValue,0,8,2,0,BEF005,2017,Bydel Nordre Aker,1-2 år,antall,1301
EliminatedValue,0,8,3,0,BEF005,2017,Bydel Nordre Aker,3-5 år,antall,2010
EliminatedValue,0,8,4,0,BEF005,2017,Bydel Nordre Aker,6-9 år,antall,2815
EliminatedValue,0,8,5,0,BEF005,2017,Bydel Nordre Aker,10-12 år,antall,1938
EliminatedValue,0,8,6,0,BEF005,2017,Bydel Nordre Aker,13-15 år,antall,1736
EliminatedValue,0,8,7,0,BEF005,2017,Bydel Nordre Aker,16-17 år,antall,1104
EliminatedValue,0,8,8,0,BEF005,2017,Bydel Nordre Aker,18-19 år,antall,1175
EliminatedValue,0,8,9,0,BEF005,2017,Bydel Nordre Aker,20-22 år,antall,2296
EliminatedValue,0,8,10,0,BEF005,2017,Bydel Nordre Aker,23-24 år,antall,1597
EliminatedValue,0,8,11,0,BEF005,2017,Bydel Nordre Aker,25-29 år,antall,4119
EliminatedValue,0,8,12,0,BEF005,2017,Bydel Nordre Aker,30-39 år,antall,7345
EliminatedValue,0,8,13,0,BEF005,2017,Bydel Nordre Aker,40-49 år,antall,7595
EliminatedValue,0,8,14,0,BEF005,2017,Bydel Nordre Aker,50-66 år,antall,9333
EliminatedValue,0,8,15,0,BEF005,2017,Bydel Nordre Aker,67-74 år,antall,3121
EliminatedValue,0,8,16,0,BEF005,2017,Bydel Nordre Aker,75-79 år,antall,1087
EliminatedValue,0,8,17,0,BEF005,2017,Bydel Nordre Aker,80-84 år,antall,851
EliminatedValue,0,8,18,0,BEF005,2017,Bydel Nordre Aker,85-89 år,antall,609
EliminatedValue,0,8,19,0,BEF005,2017,Bydel Nordre Aker,90-94 år,antall,331
EliminatedValue,0,8,20,0,BEF005,2017,Bydel Nordre Aker,95+ år,antall,109
EliminatedValue,0,9,0,0,BEF005,2017,Bydel Bjerke,Alder i alt,antall,31508
EliminatedValue,0,9,1,0,BEF005,2017,Bydel Bjerke,0 år,antall,513
EliminatedValue,0,9,2,0,BEF005,2017,Bydel Bjerke,1-2 år,antall,1003
EliminatedValue,0,9,3,0,BEF005,2017,Bydel Bjerke,3-5 år,antall,1395
EliminatedValue,0,9,4,0,BEF005,2017,Bydel Bjerke,6-9 år,antall,1818
EliminatedValue,0,9,5,0,BEF005,2017,Bydel Bjerke,10-12 år,antall,1152
EliminatedValue,0,9,6,0,BEF005,2017,Bydel Bjerke,13-15 år,antall,1036
EliminatedValue,0,9,7,0,BEF005,2017,Bydel Bjerke,16-17 år,antall,645
EliminatedValue,0,9,8,0,BEF005,2017,Bydel Bjerke,18-19 år,antall,634
EliminatedValue,0,9,9,0,BEF005,2017,Bydel Bjerke,20-22 år,antall,977
EliminatedValue,0,9,10,0,BEF005,2017,Bydel Bjerke,23-24 år,antall,799
EliminatedValue,0,9,11,0,BEF005,2017,Bydel Bjerke,25-29 år,antall,2662
EliminatedValue,0,9,12,0,BEF005,2017,Bydel Bjerke,30-39 år,antall,5783
EliminatedValue,0,9,13,0,BEF005,2017,Bydel Bjerke,40-49 år,antall,4779
EliminatedValue,0,9,14,0,BEF005,2017,Bydel Bjerke,50-66 år,antall,5116
EliminatedValue,0,9,15,0,BEF005,2017,Bydel Bjerke,67-74 år,antall,1490
EliminatedValue,0,9,16,0,BEF005,2017,Bydel Bjerke,75-79 år,antall,584
EliminatedValue,0,9,17,0,BEF005,2017,Bydel Bjerke,80-84 år,antall,459
EliminatedValue,0,9,18,0,BEF005,2017,Bydel Bjerke,85-89 år,antall,386
EliminatedValue,0,9,19,0,BEF005,2017,Bydel Bjerke,90-94 år,antall,213
EliminatedValue,0,9,20,0,BEF005,2017,Bydel Bjerke,95+ år,antall,64
EliminatedValue,0,10,0,0,BEF005,2017,Bydel Grorud,Alder i alt,antall,27465
EliminatedValue,0,10,1,0,BEF005,2017,Bydel Grorud,0 år,antall,355
EliminatedValue,0,10,2,0,BEF005,2017,Bydel Grorud,1-2 år,antall,733
EliminatedValue,0,10,3,0,BEF005,2017,Bydel Grorud,3-5 år,antall,1028
EliminatedValue,0,10,4,0,BEF005,2017,Bydel Grorud,6-9 år,antall,1329
EliminatedValue,0,10,5,0,BEF005,2017,Bydel Grorud,10-12 år,antall,970
EliminatedValue,0,10,6,0,BEF005,2017,Bydel Grorud,13-15 år,antall,939
EliminatedValue,0,10,7,0,BEF005,2017,Bydel Grorud,16-17 år,antall,630
EliminatedValue,0,10,8,0,BEF005,2017,Bydel Grorud,18-19 år,antall,648
EliminatedValue,0,10,9,0,BEF005,2017,Bydel Grorud,20-22 år,antall,998
EliminatedValue,0,10,10,0,BEF005,2017,Bydel Grorud,23-24 år,antall,673
EliminatedValue,0,10,11,0,BEF005,2017,Bydel Grorud,25-29 år,antall,2041
EliminatedValue,0,10,12,0,BEF005,2017,Bydel Grorud,30-39 år,antall,4238
EliminatedValue,0,10,13,0,BEF005,2017,Bydel Grorud,40-49 år,antall,4151
EliminatedValue,0,10,14,0,BEF005,2017,Bydel Grorud,50-66 år,antall,5431
EliminatedValue,0,10,15,0,BEF005,2017,Bydel Grorud,67-74 år,antall,1651
EliminatedValue,0,10,16,0,BEF005,2017,Bydel Grorud,75-79 år,antall,605
EliminatedValue,0,10,17,0,BEF005,2017,Bydel Grorud,80-84 år,antall,506
EliminatedValue,0,10,18,0,BEF005,2017,Bydel Grorud,85-89 år,antall,340
EliminatedValue,0,10,19,0,BEF005,2017,Bydel Grorud,90-94 år,antall,159
EliminatedValue,0,10,20,0,BEF005,2017,Bydel Grorud,95+ år,antall,40
EliminatedValue,0,11,0,0,BEF005,2017,Bydel Stovner,Alder i alt,antall,32427
EliminatedValue,0,11,1,0,BEF005,2017,Bydel Stovner,0 år,antall,409
EliminatedValue,0,11,2,0,BEF005,2017,Bydel Stovner,1-2 år,antall,824
EliminatedValue,0,11,3,0,BEF005,2017,Bydel Stovner,3-5 år,antall,1276
EliminatedValue,0,11,4,0,BEF005,2017,Bydel Stovner,6-9 år,antall,1700
EliminatedValue,0,11,5,0,BEF005,2017,Bydel Stovner,10-12 år,antall,1322
EliminatedValue,0,11,6,0,BEF005,2017,Bydel Stovner,13-15 år,antall,1336
EliminatedValue,0,11,7,0,BEF005,2017,Bydel Stovner,16-17 år,antall,961
EliminatedValue,0,11,8,0,BEF005,2017,Bydel Stovner,18-19 år,antall,938
EliminatedValue,0,11,9,0,BEF005,2017,Bydel Stovner,20-22 år,antall,1236
EliminatedValue,0,11,10,0,BEF005,2017,Bydel Stovner,23-24 år,antall,779
EliminatedValue,0,11,11,0,BEF005,2017,Bydel Stovner,25-29 år,antall,2007
EliminatedValue,0,11,12,0,BEF005,2017,Bydel Stovner,30-39 år,antall,4351
EliminatedValue,0,11,13,0,BEF005,2017,Bydel Stovner,40-49 år,antall,4791
EliminatedValue,0,11,14,0,BEF005,2017,Bydel Stovner,50-66 år,antall,6204
EliminatedValue,0,11,15,0,BEF005,2017,Bydel Stovner,67-74 år,antall,2371
EliminatedValue,0,11,16,0,BEF005,2017,Bydel Stovner,75-79 år,antall,908
EliminatedValue,0,11,17,0,BEF005,2017,Bydel Stovner,80-84 år,antall,542
EliminatedValue,0,11,18,0,BEF005,2017,Bydel Stovner,85-89 år,antall,320
EliminatedValue,0,11,19,0,BEF005,2017,Bydel Stovner,90-94 år,antall,124
EliminatedValue,0,11,20,0,BEF005,2017,Bydel Stovner,95+ år,antall,28
EliminatedValue,0,12,0,0,BEF005,2017,Bydel Alna,Alder i alt,antall,49251
EliminatedValue,0,12,1,0,BEF005,2017,Bydel Alna,0 år,antall,696
EliminatedValue,0,12,2,0,BEF005,2017,Bydel Alna,1-2 år,antall,1383
EliminatedValue,0,12,3,0,BEF005,2017,Bydel Alna,3-5 år,antall,2025
EliminatedValue,0,12,4,0,BEF005,2017,Bydel Alna,6-9 år,antall,2489
EliminatedValue,0,12,5,0,BEF005,2017,Bydel Alna,10-12 år,antall,1706
EliminatedValue,0,12,6,0,BEF005,2017,Bydel Alna,13-15 år,antall,1653
EliminatedValue,0,12,7,0,BEF005,2017,Bydel Alna,16-17 år,antall,1132
EliminatedValue,0,12,8,0,BEF005,2017,Bydel Alna,18-19 år,antall,1096
EliminatedValue,0,12,9,0,BEF005,2017,Bydel Alna,20-22 år,antall,1688
EliminatedValue,0,12,10,0,BEF005,2017,Bydel Alna,23-24 år,antall,1271
EliminatedValue,0,12,11,0,BEF005,2017,Bydel Alna,25-29 år,antall,3793
EliminatedValue,0,12,12,0,BEF005,2017,Bydel Alna,30-39 år,antall,8151
EliminatedValue,0,12,13,0,BEF005,2017,Bydel Alna,40-49 år,antall,6910
EliminatedValue,0,12,14,0,BEF005,2017,Bydel Alna,50-66 år,antall,9355
EliminatedValue,0,12,15,0,BEF005,2017,Bydel Alna,67-74 år,antall,3249
EliminatedValue,0,12,16,0,BEF005,2017,Bydel Alna,75-79 år,antall,1084
EliminatedValue,0,12,17,0,BEF005,2017,Bydel Alna,80-84 år,antall,734
EliminatedValue,0,12,18,0,BEF005,2017,Bydel Alna,85-89 år,antall,495
EliminatedValue,0,12,19,0,BEF005,2017,Bydel Alna,90-94 år,antall,251
EliminatedValue,0,12,20,0,BEF005,2017,Bydel Alna,95+ år,antall,90
EliminatedValue,0,13,0,0,BEF005,2017,Bydel Østensjø,Alder i alt,antall,50189
EliminatedValue,0,13,1,0,BEF005,2017,Bydel Østensjø,0 år,antall,721
EliminatedValue,0,13,2,0,BEF005,2017,Bydel Østensjø,1-2 år,antall,1383
EliminatedValue,0,13,3,0,BEF005,2017,Bydel Østensjø,3-5 år,antall,2027
EliminatedValue,0,13,4,0,BEF005,2017,Bydel Østensjø,6-9 år,antall,2819
EliminatedValue,0,13,5,0,BEF005,2017,Bydel Østensjø,10-12 år,antall,1887
EliminatedValue,0,13,6,0,BEF005,2017,Bydel Østensjø,13-15 år,antall,1587
EliminatedValue,0,13,7,0,BEF005,2017,Bydel Østensjø,16-17 år,antall,1109
EliminatedValue,0,13,8,0,BEF005,2017,Bydel Østensjø,18-19 år,antall,1020
EliminatedValue,0,13,9,0,BEF005,2017,Bydel Østensjø,20-22 år,antall,1434
EliminatedValue,0,13,10,0,BEF005,2017,Bydel Østensjø,23-24 år,antall,1014
EliminatedValue,0,13,11,0,BEF005,2017,Bydel Østensjø,25-29 år,antall,3328
EliminatedValue,0,13,12,0,BEF005,2017,Bydel Østensjø,30-39 år,antall,7605
EliminatedValue,0,13,13,0,BEF005,2017,Bydel Østensjø,40-49 år,antall,8022
EliminatedValue,0,13,14,0,BEF005,2017,Bydel Østensjø,50-66 år,antall,9360
EliminatedValue,0,13,15,0,BEF005,2017,Bydel Østensjø,67-74 år,antall,2743
EliminatedValue,0,13,16,0,BEF005,2017,Bydel Østensjø,75-79 år,antall,1264
EliminatedValue,0,13,17,0,BEF005,2017,Bydel Østensjø,80-84 år,antall,1262
EliminatedValue,0,13,18,0,BEF005,2017,Bydel Østensjø,85-89 år,antall,1022
EliminatedValue,0,13,19,0,BEF005,2017,Bydel Østensjø,90-94 år,antall,457
EliminatedValue,0,13,20,0,BEF005,2017,Bydel Østensjø,95+ år,antall,125
EliminatedValue,0,14,0,0,BEF005,2017,Bydel Nordstrand,Alder i alt,antall,50769
EliminatedValue,0,14,1,0,BEF005,2017,Bydel Nordstrand,0 år,antall,623
