ContentsCode_kode,år_kode,bosted_kode,kjønn_kode,aldersgruppe_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,bosted_navn,kjønn_navn,aldersgruppe_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,30108,1,3,0,ok-sos006,2004,Nordre Aker,Kvinner,40-49,antall personer,128
EliminatedValue,0,30108,1,4,0,ok-sos006,2004,Nordre Aker,Kvinner,50-59,antall personer,302
EliminatedValue,0,30108,1,5,0,ok-sos006,2004,Nordre Aker,Kvinner,60-67,antall personer,305
EliminatedValue,0,30108,2,0,0,ok-sos006,2004,Nordre Aker,Menn,I alt,antall personer,543
EliminatedValue,0,30108,2,1,0,ok-sos006,2004,Nordre Aker,Menn,18-29,antall personer,22
EliminatedValue,0,30108,2,2,0,ok-sos006,2004,Nordre Aker,Menn,30-39,antall personer,60
EliminatedValue,0,30108,2,3,0,ok-sos006,2004,Nordre Aker,Menn,40-49,antall personer,96
EliminatedValue,0,30108,2,4,0,ok-sos006,2004,Nordre Aker,Menn,50-59,antall personer,195
EliminatedValue,0,30108,2,5,0,ok-sos006,2004,Nordre Aker,Menn,60-67,antall personer,170
EliminatedValue,0,30109,0,0,0,ok-sos006,2004,Bjerke,I alt,I alt,antall personer,1163
EliminatedValue,0,30109,0,1,0,ok-sos006,2004,Bjerke,I alt,18-29,antall personer,33
EliminatedValue,0,30109,0,2,0,ok-sos006,2004,Bjerke,I alt,30-39,antall personer,82
EliminatedValue,0,30109,0,3,0,ok-sos006,2004,Bjerke,I alt,40-49,antall personer,227
EliminatedValue,0,30109,0,4,0,ok-sos006,2004,Bjerke,I alt,50-59,antall personer,448
EliminatedValue,0,30109,0,5,0,ok-sos006,2004,Bjerke,I alt,60-67,antall personer,373
EliminatedValue,0,30109,1,0,0,ok-sos006,2004,Bjerke,Kvinner,I alt,antall personer,666
EliminatedValue,0,30109,1,1,0,ok-sos006,2004,Bjerke,Kvinner,18-29,antall personer,20
EliminatedValue,0,30109,1,2,0,ok-sos006,2004,Bjerke,Kvinner,30-39,antall personer,49
EliminatedValue,0,30109,1,3,0,ok-sos006,2004,Bjerke,Kvinner,40-49,antall personer,123
EliminatedValue,0,30109,1,4,0,ok-sos006,2004,Bjerke,Kvinner,50-59,antall personer,251
EliminatedValue,0,30109,1,5,0,ok-sos006,2004,Bjerke,Kvinner,60-67,antall personer,223
EliminatedValue,0,30109,2,0,0,ok-sos006,2004,Bjerke,Menn,I alt,antall personer,497
EliminatedValue,0,30109,2,1,0,ok-sos006,2004,Bjerke,Menn,18-29,antall personer,13
EliminatedValue,0,30109,2,2,0,ok-sos006,2004,Bjerke,Menn,30-39,antall personer,33
EliminatedValue,0,30109,2,3,0,ok-sos006,2004,Bjerke,Menn,40-49,antall personer,104
EliminatedValue,0,30109,2,4,0,ok-sos006,2004,Bjerke,Menn,50-59,antall personer,197
EliminatedValue,0,30109,2,5,0,ok-sos006,2004,Bjerke,Menn,60-67,antall personer,150
EliminatedValue,0,30110,0,0,0,ok-sos006,2004,Grorud,I alt,I alt,antall personer,1705
EliminatedValue,0,30110,0,1,0,ok-sos006,2004,Grorud,I alt,18-29,antall personer,29
EliminatedValue,0,30110,0,2,0,ok-sos006,2004,Grorud,I alt,30-39,antall personer,114
EliminatedValue,0,30110,0,3,0,ok-sos006,2004,Grorud,I alt,40-49,antall personer,341
EliminatedValue,0,30110,0,4,0,ok-sos006,2004,Grorud,I alt,50-59,antall personer,641
EliminatedValue,0,30110,0,5,0,ok-sos006,2004,Grorud,I alt,60-67,antall personer,580
EliminatedValue,0,30110,1,0,0,ok-sos006,2004,Grorud,Kvinner,I alt,antall personer,1001
EliminatedValue,0,30110,1,1,0,ok-sos006,2004,Grorud,Kvinner,18-29,antall personer,15
EliminatedValue,0,30110,1,2,0,ok-sos006,2004,Grorud,Kvinner,30-39,antall personer,62
EliminatedValue,0,30110,1,3,0,ok-sos006,2004,Grorud,Kvinner,40-49,antall personer,181
EliminatedValue,0,30110,1,4,0,ok-sos006,2004,Grorud,Kvinner,50-59,antall personer,398
EliminatedValue,0,30110,1,5,0,ok-sos006,2004,Grorud,Kvinner,60-67,antall personer,345
EliminatedValue,0,30110,2,0,0,ok-sos006,2004,Grorud,Menn,I alt,antall personer,704
EliminatedValue,0,30110,2,1,0,ok-sos006,2004,Grorud,Menn,18-29,antall personer,14
EliminatedValue,0,30110,2,2,0,ok-sos006,2004,Grorud,Menn,30-39,antall personer,52
EliminatedValue,0,30110,2,3,0,ok-sos006,2004,Grorud,Menn,40-49,antall personer,160
EliminatedValue,0,30110,2,4,0,ok-sos006,2004,Grorud,Menn,50-59,antall personer,243
EliminatedValue,0,30110,2,5,0,ok-sos006,2004,Grorud,Menn,60-67,antall personer,235
EliminatedValue,0,30111,0,0,0,ok-sos006,2004,Stovner,I alt,I alt,antall personer,2252
EliminatedValue,0,30111,0,1,0,ok-sos006,2004,Stovner,I alt,18-29,antall personer,58
EliminatedValue,0,30111,0,2,0,ok-sos006,2004,Stovner,I alt,30-39,antall personer,154
EliminatedValue,0,30111,0,3,0,ok-sos006,2004,Stovner,I alt,40-49,antall personer,334
EliminatedValue,0,30111,0,4,0,ok-sos006,2004,Stovner,I alt,50-59,antall personer,849
EliminatedValue,0,30111,0,5,0,ok-sos006,2004,Stovner,I alt,60-67,antall personer,857
EliminatedValue,0,30111,1,0,0,ok-sos006,2004,Stovner,Kvinner,I alt,antall personer,1371
EliminatedValue,0,30111,1,1,0,ok-sos006,2004,Stovner,Kvinner,18-29,antall personer,22
EliminatedValue,0,30111,1,2,0,ok-sos006,2004,Stovner,Kvinner,30-39,antall personer,86
EliminatedValue,0,30111,1,3,0,ok-sos006,2004,Stovner,Kvinner,40-49,antall personer,201
EliminatedValue,0,30111,1,4,0,ok-sos006,2004,Stovner,Kvinner,50-59,antall personer,546
EliminatedValue,0,30111,1,5,0,ok-sos006,2004,Stovner,Kvinner,60-67,antall personer,516
EliminatedValue,0,30111,2,0,0,ok-sos006,2004,Stovner,Menn,I alt,antall personer,881
EliminatedValue,0,30111,2,1,0,ok-sos006,2004,Stovner,Menn,18-29,antall personer,36
EliminatedValue,0,30111,2,2,0,ok-sos006,2004,Stovner,Menn,30-39,antall personer,68
EliminatedValue,0,30111,2,3,0,ok-sos006,2004,Stovner,Menn,40-49,antall personer,133
EliminatedValue,0,30111,2,4,0,ok-sos006,2004,Stovner,Menn,50-59,antall personer,303
EliminatedValue,0,30111,2,5,0,ok-sos006,2004,Stovner,Menn,60-67,antall personer,341
EliminatedValue,0,30112,0,0,0,ok-sos006,2004,Alna,I alt,I alt,antall personer,3077
EliminatedValue,0,30112,0,1,0,ok-sos006,2004,Alna,I alt,18-29,antall personer,58
EliminatedValue,0,30112,0,2,0,ok-sos006,2004,Alna,I alt,30-39,antall personer,216
EliminatedValue,0,30112,0,3,0,ok-sos006,2004,Alna,I alt,40-49,antall personer,542
EliminatedValue,0,30112,0,4,0,ok-sos006,2004,Alna,I alt,50-59,antall personer,1220
EliminatedValue,0,30112,0,5,0,ok-sos006,2004,Alna,I alt,60-67,antall personer,1041
EliminatedValue,0,30112,1,0,0,ok-sos006,2004,Alna,Kvinner,I alt,antall personer,1781
EliminatedValue,0,30112,1,1,0,ok-sos006,2004,Alna,Kvinner,18-29,antall personer,24
EliminatedValue,0,30112,1,2,0,ok-sos006,2004,Alna,Kvinner,30-39,antall personer,114
EliminatedValue,0,30112,1,3,0,ok-sos006,2004,Alna,Kvinner,40-49,antall personer,312
EliminatedValue,0,30112,1,4,0,ok-sos006,2004,Alna,Kvinner,50-59,antall personer,756
EliminatedValue,0,30112,1,5,0,ok-sos006,2004,Alna,Kvinner,60-67,antall personer,575
EliminatedValue,0,30112,2,0,0,ok-sos006,2004,Alna,Menn,I alt,antall personer,1296
EliminatedValue,0,30112,2,1,0,ok-sos006,2004,Alna,Menn,18-29,antall personer,34
EliminatedValue,0,30112,2,2,0,ok-sos006,2004,Alna,Menn,30-39,antall personer,102
EliminatedValue,0,30112,2,3,0,ok-sos006,2004,Alna,Menn,40-49,antall personer,230
EliminatedValue,0,30112,2,4,0,ok-sos006,2004,Alna,Menn,50-59,antall personer,464
EliminatedValue,0,30112,2,5,0,ok-sos006,2004,Alna,Menn,60-67,antall personer,466
EliminatedValue,0,30113,0,0,0,ok-sos006,2004,Østensjø,I alt,I alt,antall personer,2278
EliminatedValue,0,30113,0,1,0,ok-sos006,2004,Østensjø,I alt,18-29,antall personer,37
EliminatedValue,0,30113,0,2,0,ok-sos006,2004,Østensjø,I alt,30-39,antall personer,165
EliminatedValue,0,30113,0,3,0,ok-sos006,2004,Østensjø,I alt,40-49,antall personer,489
EliminatedValue,0,30113,0,4,0,ok-sos006,2004,Østensjø,I alt,50-59,antall personer,785
EliminatedValue,0,30113,0,5,0,ok-sos006,2004,Østensjø,I alt,60-67,antall personer,802
