Soner2_kode,AntRom_kode,ContentsCode_kode,Tid_kode,Soner2_navn,AntRom_navn,ContentsCode_navn,Tid_navn,verdi
01,3,Husleiear,2015,Oslo og Bærum kommune,3 rom,Gjennomsnittlig årlig leie per kvm,2015,2270
01,3,Husleiear,2016,Oslo og Bærum kommune,3 rom,Gjennomsnittlig årlig leie per kvm,2016,2410
01,3,Husleiear,2017,Oslo og Bærum kommune,3 rom,Gjennomsnittlig årlig leie per kvm,2017,2510
01,3,Husleiear,2018,Oslo og Bærum kommune,3 rom,Gjennomsnittlig årlig leie per kvm,2018,2610
01,3,Husleiear,2019,Oslo og Bærum kommune,3 rom,Gjennomsnittlig årlig leie per kvm,2019,2680
01,3,Husleiear,2020,Oslo og Bærum kommune,3 rom,Gjennomsnittlig årlig leie per kvm,2020,2840
01,3,Husleiear,2021,Oslo og Bærum kommune,3 rom,Gjennomsnittlig årlig leie per kvm,2021,2830
01,3,Husleiear,2022,Oslo og Bærum kommune,3 rom,Gjennomsnittlig årlig leie per kvm,2022,3040
01,3,Husleiear,2023,Oslo og Bærum kommune,3 rom,Gjennomsnittlig årlig leie per kvm,2023,3190
01,3,Husleiear,2024,Oslo og Bærum kommune,3 rom,Gjennomsnittlig årlig leie per kvm,2024,3460
01,3,Husleiear,2025,Oslo og Bærum kommune,3 rom,Gjennomsnittlig årlig leie per kvm,2025,3640
01,4,Husleie,2012,Oslo og Bærum kommune,4 rom,Gjennomsnittlig månedlig leie,2012,12800
01,4,Husleie,2013,Oslo og Bærum kommune,4 rom,Gjennomsnittlig månedlig leie,2013,13530
01,4,Husleie,2014,Oslo og Bærum kommune,4 rom,Gjennomsnittlig månedlig leie,2014,13980
01,4,Husleie,2015,Oslo og Bærum kommune,4 rom,Gjennomsnittlig månedlig leie,2015,14560
01,4,Husleie,2016,Oslo og Bærum kommune,4 rom,Gjennomsnittlig månedlig leie,2016,15150
01,4,Husleie,2017,Oslo og Bærum kommune,4 rom,Gjennomsnittlig månedlig leie,2017,15900
01,4,Husleie,2018,Oslo og Bærum kommune,4 rom,Gjennomsnittlig månedlig leie,2018,16460
01,4,Husleie,2019,Oslo og Bærum kommune,4 rom,Gjennomsnittlig månedlig leie,2019,17150
01,4,Husleie,2020,Oslo og Bærum kommune,4 rom,Gjennomsnittlig månedlig leie,2020,18410
01,4,Husleie,2021,Oslo og Bærum kommune,4 rom,Gjennomsnittlig månedlig leie,2021,18690
01,4,Husleie,2022,Oslo og Bærum kommune,4 rom,Gjennomsnittlig månedlig leie,2022,19370
01,4,Husleie,2023,Oslo og Bærum kommune,4 rom,Gjennomsnittlig månedlig leie,2023,20530
01,4,Husleie,2024,Oslo og Bærum kommune,4 rom,Gjennomsnittlig månedlig leie,2024,21100
01,4,Husleie,2025,Oslo og Bærum kommune,4 rom,Gjennomsnittlig månedlig leie,2025,23200
01,4,Husleiear,2012,Oslo og Bærum kommune,4 rom,Gjennomsnittlig årlig leie per kvm,2012,1840
