ContentsCode_kode,år_kode,bydel_kode,sosialhjelpsmottakere og berørte_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,bydel_navn,sosialhjelpsmottakere og berørte_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,10,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Bjerke,Barn av enslig forsørger,Antall,267
EliminatedValue,0,11,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Grorud,Sosialhjelpsmottakere i alt,Antall,1309
EliminatedValue,0,11,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Grorud,Berørte av sosialhjelp,Antall,2293
EliminatedValue,0,11,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Grorud,Berørte ektefeller/samboere,Antall,308
EliminatedValue,0,11,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Grorud,Berørte barn i alt,Antall,676
EliminatedValue,0,11,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Grorud,Barn av par,Antall,368
EliminatedValue,0,11,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Grorud,Barn av enslig forsørger,Antall,308
EliminatedValue,0,12,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Stovner,Sosialhjelpsmottakere i alt,Antall,1015
EliminatedValue,0,12,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Stovner,Berørte av sosialhjelp,Antall,2070
EliminatedValue,0,12,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Stovner,Berørte ektefeller/samboere,Antall,289
EliminatedValue,0,12,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Stovner,Berørte barn i alt,Antall,766
EliminatedValue,0,12,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Stovner,Barn av par,Antall,470
EliminatedValue,0,12,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Stovner,Barn av enslig forsørger,Antall,296
EliminatedValue,0,13,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Alna,Sosialhjelpsmottakere i alt,Antall,1173
EliminatedValue,0,13,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Alna,Berørte av sosialhjelp,Antall,2303
EliminatedValue,0,13,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Alna,Berørte ektefeller/samboere,Antall,323
EliminatedValue,0,13,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Alna,Berørte barn i alt,Antall,807
EliminatedValue,0,13,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Alna,Barn av par,Antall,499
EliminatedValue,0,13,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Alna,Barn av enslig forsørger,Antall,308
EliminatedValue,0,14,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Østensjø,Sosialhjelpsmottakere i alt,Antall,1328
EliminatedValue,0,14,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Østensjø,Berørte av sosialhjelp,Antall,2358
EliminatedValue,0,14,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Østensjø,Berørte ektefeller/samboere,Antall,303
EliminatedValue,0,14,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Østensjø,Berørte barn i alt,Antall,727
EliminatedValue,0,14,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Østensjø,Barn av par,Antall,374
EliminatedValue,0,14,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Østensjø,Barn av enslig forsørger,Antall,353
EliminatedValue,0,15,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Nordstrand,Sosialhjelpsmottakere i alt,Antall,1026
EliminatedValue,0,15,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Nordstrand,Berørte av sosialhjelp,Antall,1657
EliminatedValue,0,15,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Nordstrand,Berørte ektefeller/samboere,Antall,215
EliminatedValue,0,15,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Nordstrand,Berørte barn i alt,Antall,416
EliminatedValue,0,15,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Nordstrand,Barn av par,Antall,214
EliminatedValue,0,15,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Nordstrand,Barn av enslig forsørger,Antall,202
EliminatedValue,0,16,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Søndre Nordstrand,Sosialhjelpsmottakere i alt,Antall,1592
EliminatedValue,0,16,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Søndre Nordstrand,Berørte av sosialhjelp,Antall,3463
EliminatedValue,0,16,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Søndre Nordstrand,Berørte ektefeller/samboere,Antall,468
EliminatedValue,0,16,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Søndre Nordstrand,Berørte barn i alt,Antall,1403
EliminatedValue,0,16,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Søndre Nordstrand,Barn av par,Antall,804
EliminatedValue,0,16,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Søndre Nordstrand,Barn av enslig forsørger,Antall,599
EliminatedValue,1,0,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Oslo i alt,Sosialhjelpsmottakere i alt,Antall,18477
EliminatedValue,1,0,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Oslo i alt,Berørte av sosialhjelp,Antall,32073
EliminatedValue,1,0,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Oslo i alt,Berørte ektefeller/samboere,Antall,4040
