Region_kode,ContentsCode_kode,Tid_kode,Region_navn,ContentsCode_navn,Tid_navn,verdi
0301,Fodte2,2001K2,Oslo - Oslove,Fødde,2001K2,2080
0301,Fodte2,2001K3,Oslo - Oslove,Fødde,2001K3,1957
0301,Fodte2,2001K4,Oslo - Oslove,Fødde,2001K4,1794
0301,Fodte2,2002K1,Oslo - Oslove,Fødde,2002K1,1852
0301,Fodte2,2002K2,Oslo - Oslove,Fødde,2002K2,1999
0301,Fodte2,2002K3,Oslo - Oslove,Fødde,2002K3,2052
0301,Fodte2,2002K4,Oslo - Oslove,Fødde,2002K4,1910
0301,Fodte2,2003K1,Oslo - Oslove,Fødde,2003K1,1888
0301,Fodte2,2003K2,Oslo - Oslove,Fødde,2003K2,2128
0301,Fodte2,2003K3,Oslo - Oslove,Fødde,2003K3,2214
0301,Fodte2,2003K4,Oslo - Oslove,Fødde,2003K4,2040
0301,Fodte2,2004K1,Oslo - Oslove,Fødde,2004K1,2114
0301,Fodte2,2004K2,Oslo - Oslove,Fødde,2004K2,2223
0301,Fodte2,2004K3,Oslo - Oslove,Fødde,2004K3,2253
0301,Fodte2,2004K4,Oslo - Oslove,Fødde,2004K4,2075
0301,Fodte2,2005K1,Oslo - Oslove,Fødde,2005K1,2009
0301,Fodte2,2005K2,Oslo - Oslove,Fødde,2005K2,2427
0301,Fodte2,2005K3,Oslo - Oslove,Fødde,2005K3,2373
0301,Fodte2,2005K4,Oslo - Oslove,Fødde,2005K4,2146
0301,Fodte2,2006K1,Oslo - Oslove,Fødde,2006K1,2333
0301,Fodte2,2006K2,Oslo - Oslove,Fødde,2006K2,2392
0301,Fodte2,2006K3,Oslo - Oslove,Fødde,2006K3,2484
0301,Fodte2,2006K4,Oslo - Oslove,Fødde,2006K4,2203
0301,Fodte2,2007K1,Oslo - Oslove,Fødde,2007K1,2336
0301,Fodte2,2007K2,Oslo - Oslove,Fødde,2007K2,2490
0301,Fodte2,2007K3,Oslo - Oslove,Fødde,2007K3,2400
0301,Fodte2,2007K4,Oslo - Oslove,Fødde,2007K4,2232
0301,Fodte2,2008K1,Oslo - Oslove,Fødde,2008K1,2397
0301,Fodte2,2008K2,Oslo - Oslove,Fødde,2008K2,2648
