ContentsCode_kode,År_kode,Geografi_kode,Aldersgrupper_kode,Måltall_kode,ContentsCode_navn,År_navn,Geografi_navn,Aldersgrupper_navn,Måltall_navn,verdi
EliminatedValue,0,5,18,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,85-89 år,Personer,742
EliminatedValue,0,5,19,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Frogner,90 år +,Personer,504
EliminatedValue,0,6,0,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Ullern,Alder i alt,Personer,28774
EliminatedValue,0,6,1,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Ullern,0 år,Personer,409
EliminatedValue,0,6,2,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Ullern,1-2 år,Personer,868
EliminatedValue,0,6,3,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Ullern,3-5 år,Personer,1128
EliminatedValue,0,6,4,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Ullern,6-9 år,Personer,1269
EliminatedValue,0,6,5,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Ullern,10-12 år,Personer,926
EliminatedValue,0,6,6,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Ullern,13-15 år,Personer,925
EliminatedValue,0,6,7,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Ullern,16-17 år,Personer,596
EliminatedValue,0,6,8,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Ullern,18-19 år,Personer,608
EliminatedValue,0,6,9,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Ullern,20-22 år,Personer,796
EliminatedValue,0,6,10,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Ullern,23-24 år,Personer,535
EliminatedValue,0,6,11,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Ullern,25-29 år,Personer,1755
EliminatedValue,0,6,12,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Ullern,30-39 år,Personer,4329
EliminatedValue,0,6,13,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Ullern,40-49 år,Personer,4125
EliminatedValue,0,6,14,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Ullern,50-66 år,Personer,6464
EliminatedValue,0,6,15,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Ullern,67-74 år,Personer,1633
EliminatedValue,0,6,16,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Ullern,75-79 år,Personer,843
EliminatedValue,0,6,17,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Ullern,80-84 år,Personer,776
EliminatedValue,0,6,18,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Ullern,85-89 år,Personer,514
EliminatedValue,0,6,19,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Ullern,90 år +,Personer,275
EliminatedValue,0,7,0,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Vestre Aker,Alder i alt,Personer,42786
EliminatedValue,0,7,1,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Vestre Aker,0 år,Personer,637
EliminatedValue,0,7,2,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Vestre Aker,1-2 år,Personer,1239
EliminatedValue,0,7,3,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Vestre Aker,3-5 år,Personer,1757
EliminatedValue,0,7,4,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Vestre Aker,6-9 år,Personer,2181
EliminatedValue,0,7,5,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Vestre Aker,10-12 år,Personer,1626
EliminatedValue,0,7,6,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Vestre Aker,13-15 år,Personer,1591
EliminatedValue,0,7,7,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Vestre Aker,16-17 år,Personer,1110
EliminatedValue,0,7,8,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Vestre Aker,18-19 år,Personer,1084
EliminatedValue,0,7,9,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Vestre Aker,20-22 år,Personer,1385
